,link_final
2,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59275&itemVotacao=9351
3,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59275&itemVotacao=9352
4,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59290&itemVotacao=9353
5,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59290&itemVotacao=9354
6,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59290&itemVotacao=9355
7,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59290&itemVotacao=9356
8,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59298&itemVotacao=9357
9,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59298&itemVotacao=9358
10,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59298&itemVotacao=9359
11,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59298&itemVotacao=9360
12,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59317&itemVotacao=9365
13,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59317&itemVotacao=9366
14,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59317&itemVotacao=9367
15,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59331&itemVotacao=9368
16,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59331&itemVotacao=9369
17,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59331&itemVotacao=9370
18,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59331&itemVotacao=9371
19,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59331&itemVotacao=9372
21,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59338&itemVotacao=9374
23,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59338&itemVotacao=9376
36,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59536&itemVotacao=28492
46,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59542&itemVotacao=28607
47,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59542&itemVotacao=28598
49,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28644
50,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28643
52,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28641
53,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28634
54,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28632
55,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28625
56,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59543&itemVotacao=28621
61,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59557&itemVotacao=28760
67,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560&itemVotacao=28856
68,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560&itemVotacao=28842
69,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560&itemVotacao=28840
70,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59560&itemVotacao=28819
73,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59565&itemVotacao=28889
74,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59565&itemVotacao=28859
75,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28918
76,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28917
77,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28911
78,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28910
80,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28906
81,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28905
82,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28904
83,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59569&itemVotacao=28898
84,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570&itemVotacao=28930
85,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570&itemVotacao=28929
87,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570&itemVotacao=28926
88,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570&itemVotacao=28925
89,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570&itemVotacao=28924
90,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59570&itemVotacao=28923
94,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59571&itemVotacao=28979
118,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580&itemVotacao=29069
121,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59580&itemVotacao=29061
122,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584&itemVotacao=29146
124,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584&itemVotacao=29143
125,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59584&itemVotacao=29142
132,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585&itemVotacao=29208
134,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585&itemVotacao=29180
135,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59585&itemVotacao=29179
140,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29281
142,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29278
143,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29275
144,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29274
145,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29273
146,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29266
147,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29260
148,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29259
149,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29253
150,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29251
151,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29240
152,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59588&itemVotacao=29237
154,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594&itemVotacao=29358
155,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594&itemVotacao=29353
156,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594&itemVotacao=29346
158,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594&itemVotacao=29333
159,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59594&itemVotacao=29329
160,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29378
161,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29377
162,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29376
163,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29375
164,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29374
165,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29371
166,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29370
167,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29368
168,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29367
169,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59596&itemVotacao=29366
170,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597&itemVotacao=29405
171,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597&itemVotacao=29404
172,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597&itemVotacao=29403
173,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59597&itemVotacao=29381
174,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59601&itemVotacao=29485
183,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59613&itemVotacao=29557
189,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59618&itemVotacao=29600
210,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59639&itemVotacao=29789
223,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59642&itemVotacao=29891
226,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59642&itemVotacao=29873
235,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59649&itemVotacao=29917
240,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652&itemVotacao=29976
242,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59652&itemVotacao=29972
255,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659&itemVotacao=30025
256,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59659&itemVotacao=30022
258,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660&itemVotacao=30188
260,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660&itemVotacao=30140
261,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660&itemVotacao=30137
262,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660&itemVotacao=30133
263,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660&itemVotacao=30132
265,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59660&itemVotacao=30094
269,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670&itemVotacao=30370
270,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670&itemVotacao=30369
274,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670&itemVotacao=30296
277,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675&itemVotacao=30524
283,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675&itemVotacao=30481
284,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675&itemVotacao=30480
285,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30634
286,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30633
287,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30632
288,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30629
289,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30628
290,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30578
291,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680&itemVotacao=30574
293,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30714
295,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30711
297,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30708
299,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30697
300,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30695
301,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30694
302,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30693
303,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30692
304,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30691
305,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30690
306,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30689
307,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30688
308,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683&itemVotacao=30673
314,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686&itemVotacao=30732
318,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693&itemVotacao=30813
319,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693&itemVotacao=30806
322,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693&itemVotacao=30797
324,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701&itemVotacao=30875
325,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701&itemVotacao=30874
326,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701&itemVotacao=30873
328,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701&itemVotacao=30871
329,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701&itemVotacao=30870
330,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701&itemVotacao=30869
332,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704&itemVotacao=30903
333,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704&itemVotacao=30897
334,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704&itemVotacao=30896
335,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704&itemVotacao=30895
336,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59704&itemVotacao=30894
337,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706&itemVotacao=31027
338,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706&itemVotacao=31023
339,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59706&itemVotacao=31015
360,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712&itemVotacao=31035
361,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712&itemVotacao=31034
362,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712&itemVotacao=31032
363,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59712&itemVotacao=31030
364,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31165
365,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31164
366,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31155
367,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31154
368,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31153
369,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31152
370,https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59723&itemVotacao=31150
